지자체,관리청,해수욕장명,길이(m),너비(m),백사장면적(m2)
강원도,강릉시,강문,360,45,16200
강원도,강릉시,경포대,1800,70,126000
강원도,강릉시,금진,850,44,37400
강원도,강릉시, 남항진 ,350,47,16450
강원도,강릉시, 도직 ,330,56,18480
강원도,강릉시, 등명 ,490,54,26460
강원도,강릉시,사근진,830,28,23240
강원도,강릉시,사천,270,45,12150
강원도,강릉시,사천진,760,51,38760
강원도,강릉시,송정,270,46,12420
강원도,강릉시,순긋,400,36,14400
강원도,강릉시,안목,300,56,16800
강원도,강릉시, 안인 ,150,30,4500
강원도,강릉시,연곡,750,43,32250
강원도,강릉시, 염전 ,330,63,20790
강원도,강릉시,영진,450,38,17100
강원도,강릉시,옥계,530,140,74200
강원도,강릉시,정동진,1660,50,83000
강원도,강릉시,주문진해변,1369,59,80771
강원도,강릉시,하평,340,36,12240
강원도,고성군,가진진,345,69,23805
강원도,고성군,거진11리,830,22,17834
강원도,고성군,거진1리,245,21,5225
강원도,고성군,공현진1리,300,120,36000
강원도,고성군,공현진2리,405,44,17820
강원도,고성군,교암리,507,45,22815
강원도,고성군,대진1리,416,28,11565
강원도,고성군,대진5리,109,18,1920
강원도,고성군,마차진,246,25,6138
강원도,고성군,명파리,196,31,6028
강원도,고성군,문암진2리,302,62,18724
강원도,고성군,문암캠핑장,421,69,28965
강원도,고성군,반암리,438,100,43800
강원도,고성군,백도,450,68,30600
강원도,고성군,봉수대,598,17,10166
강원도,고성군,봉포리,465,77,35805
강원도,고성군,삼포,497,48,23856
강원도,고성군,삼포2리,540,64,34560
강원도,고성군,송지호,165,88,14520
강원도,고성군,송지호오토캠핑장,296,30,8880
강원도,고성군,아야진리,315,74,23310
강원도,고성군,자작도,380,55,20900
강원도,고성군,천진리,292,34,9928
강원도,고성군,청간리,795,26,20988
강원도,고성군,초도리,363,58,21054
강원도,고성군,켄싱턴리조트,654,158,103267
강원도,고성군,화진포,641,141,90289
강원도,고성군,화진포 콘도,200,60,12000
강원도,동해시,노봉,390,100,39000
강원도,동해시, 대진 ,230,65,14950
강원도,동해시,망상,1160,125,145000
강원도,동해시,망상리조트,720,40,28800
강원도,동해시,어달,300,20,6000
강원도,동해시,추암,360,50,18000
강원도,삼척시, 궁촌 ,400,40,16000
강원도,삼척시, 덕산 ,500,50,25000
강원도,삼척시,맹방,740,80,59200
강원도,삼척시,문암,300,30,9000
강원도,삼척시, 부남 ,200,30,6000
강원도,삼척시,삼척,880,93,81840
강원도,삼척시, 상맹방 ,200,40,8000
강원도,삼척시,오분(간이),200,20,4000
강원도,삼척시,용화,500,50,25000
강원도,삼척시,원평,300,30,9000
강원도,삼척시, 임원 ,150,15,2250
강원도,삼척시,작은후진,150,20,3000
강원도,삼척시, 장호 ,300,40,12000
강원도,삼척시, 증산  ,200,40,8000
강원도,삼척시,하맹방,400,50,20000
강원도,삼척시, 한재밑 ,400,40,16000
강원도,속초시,등대,550,22,11957
강원도,속초시,속초,940,43,40129
강원도,속초시,외옹치,205,53,10842
강원도,양양군,갯마을,310,30,9300
강원도,양양군,광진,573,45,25785
강원도,양양군,기사문,148,100,14800
강원도,양양군,낙산,1833,76,139308
강원도,양양군,남애1,396,30,11880
강원도,양양군,남애3,504,77,38808
강원도,양양군,동산,374,30,11220
강원도,양양군,동산포,290,50,14500
강원도,양양군,동호,406,40,16240
강원도,양양군,물치,237,70,16590
강원도,양양군,북분,351,50,17550
강원도,양양군,설악,447,76,33972
강원도,양양군,송전,537,60,32220
강원도,양양군,원포,288,50,14400
강원도,양양군,인구,262,68,17816
강원도,양양군,잔교,317,30,9510
강원도,양양군,정암,360,40,14400
강원도,양양군,죽도,411,20,8220
강원도,양양군,중광정,310,40,12400
강원도,양양군, 지  경 ,506,50,25300
강원도,양양군,하조대,540,70,37800
경상남도,거제시,구영,178,22,3916
경상남도,거제시,구조라,851,25,21275
경상남도,거제시,농소,806,44,35464
경상남도,거제시,덕원,277,27,7479
